"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha",Alcance,Frequência,"Custo por 1.000 contas da Central de Contas alcançadas (BRL)",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Objetivo,"Reproduções de 100% do vídeo","Reproduções de 50% do vídeo","Reproduções de 75% do vídeo","Tempo médio de reprodução do vídeo","Novos contatos de mensagem","Total de contatos de mensagem","Custo por resultados","Indicador de resultados","ROAS de resultados","Indicador de ROAS do resultado",Resultados,"Valor usado (BRL)",Visualizações,ThruPlays,"Reproduções de vídeo","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Cliques no link","Custo por clique único (todos) (BRL)",onsite_conversion_returning_messaging_connection,"Contatos por mensagem","Conversas por mensagem iniciadas","Novos contatos de mensagem","Custo por contato por mensagem (BRL)","Custo por conversa por mensagem iniciada (BRL)"
2026-01-01,2026-01-31,"RETORNO 2026 04-01-26 [DS]",active,80279,2.519314,35.458713,202248,14.07475,51,Diário,Vendas,200,377,277,4,598,701,4.37936923,actions:onsite_conversion.messaging_conversation_started_7d,,,650,2846.59,202923,213,1285,7791,3.852201,0.365369,3636,0.514661,,612,650,572,4.651291,4.379369
2026-01-01,2026-01-31,"Campanha Eventos",active,114024,1.677498,7.32416,191275,4.366122,253.85,Diário,Tráfego,2213,6476,3927,5,7,20,0.14202891,actions:link_click,,,5880,835.13,174558,9428,151937,8018,4.19187,0.104157,5880,0.127891,,19,17,7,43.954211,49.125294
2026-01-01,2026-01-31,"Teste ads Facebook",inactive,4516,1.273694,11.383968,5752,8.937761,100,Total,Engajamento,143,353,238,8,2,3,0.11955814,actions:link_click,,,430,51.41,5717,804,5482,439,7.632128,0.117107,430,0.12299,,3,3,2,17.136667,17.136667
2026-01-01,2026-01-31,"Teste ads Facebook — Cópia",inactive,2650,1.224151,20.241509,3244,16.535142,100,Total,Engajamento,51,212,131,7,7,7,7.66285714,actions:onsite_conversion.messaging_conversation_started_7d,,,7,53.64,3147,391,3014,126,3.884094,0.425714,31,0.450756,,7,7,7,7.662857,7.662857
2026-01-01,2026-01-31,"Teste AB — Black November",inactive,0,0,0,0,0,250,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"Publicação do Instagram: 🚨 ATENÇÃO: ÚLTIMA CHANCE...",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"Publicação do Instagram: 🎉 BLACK NOVEMBER DO...",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"Publicação do Instagram: 🎄 O Fim de Ano Tá...",inactive,0,0,0,0,0,30,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"TRAFEGO WPP JAN25",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"Publicação do Instagram: ☀️ @leandromantega te...",inactive,0,0,0,0,0,30,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"TRAFEGO WPP JAN25 — AB",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"TRAFEGO WPP JAN25 — PUBANT",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"TRAFEGO WPP JAN25[Antiga] #Teste -01",inactive,0,0,0,0,0,15,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"TRAFEGO WPP [ Antiga] #Teste -04-Feito-ok",inactive,0,0,0,0,0,15,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"TRAFEGO WPP JAN25 — AB[Antiga] Teste-#03-ok",inactive,0,0,0,0,0,15,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"TRAFEGO WPP JAN25[Antiga] #Teste -01 — Cópia",inactive,0,0,0,0,0,20,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"TRAFEGO WPP JAN25 — AB[Antiga] Teste-#03-copia",inactive,0,0,0,0,0,15,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"LeadsWPP 070425",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"LeadsTRAFEGO 070425",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"LeadsENG 070425",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"[Teste Criativos Gênesis 04#]",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"[Teste Criativos Gênesis 05#[Região norte]",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"[Teste Criativos Gênesis 05#[aberto— Cópia",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"MSG[OC] 2704 SJL+80KM Campanha",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"WPP[OC] 2704 SJL+80KM",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"TFG MSG[OC]",inactive,0,0,0,0,0,20,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-01-01,2026-01-31,"Chamada K10 Final - Sympla",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
