Relatorio Trafego 2026
"January 1, 2026 - January 31, 2026"
Campaign,Ad state,Ad type,Final URL,Beacon URLs,Headline,Long headline,Long headline 1,Long headline 2,Long headline 3,Long headline 4,Long headline 5,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Description 5,Image ID,Square image ID,Logo ID,Landscape logo ID,Business name,Video,Call to action text,Call to action text 1,Call to action text 2,Call to action text 3,Call to action text 4,Call to action text 5,Call to action headline,Video ID,Companion banner,Accent color,Main color,Allow flexible color,Ad format preference,Promotion text,Price prefix,Enable Asset Enhancements,Enable Autogen Video,Ad name,Display URL,Path 1,Path 2,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Currency code,Cost,Impr.,CTR,Clicks,Conversions,Cost / conv.,Avg. CPC,Avg. CPM,Avg. cost
[Desafio Artuzinho],Enabled,Responsive video ad,https://www.youtube.com/shorts/4o-X1KhoL7w, --, --, --,Aqua desafio Com Arthuzinhokriwat‬ e Ana Estela.Moschioni‬, --, --, --, --,Aqua desafio No Aquabeat, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Aqua desafio Com Arthuzinhokriwat‬ e Ana Estela.Moschioni‬ Vem para o Aquabeat, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Inscrição, --, --, --, --, --,205594705268, --, --, --, --, --, --, --, --, --,Aqua desafio Com Arthuzinhokriwat‬ e Ana Estela.Moschioni‬, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
[Apresentação Aquabeat Seguimento Minas]#2,Disabled,Responsive video ad,https://www.youtube.com/watch?v=LwalZyNcCuY&t=12s, --, --, --,Venha conhecer o Aquabeat o Maior parque de Minas Gerais, --, --, --, --,Venha Conhecer o Aquabeat, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Piscina de ondas Toboaguas Rio Lento e muito mais, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Saiba mais, --, --, --, --, --,202454620795, --, --, --, --, --, --, --, --, --,Venha Conhecer o Aquabeat, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
Pesquisa - Institucional - NOV23,Paused,Responsive search ad,https://aquabeat.com.br/contato-fb, --, --, --, --, --, --, --, --,Aquabeat São José da Lapa, --,Parque Aquático Aquabeat, --,Parque Aquático BH MG, --,Seja Sócio Clube Aquabeat BH, --,Aquabeat Seja Sócio, --,Seja Sócio Remido Aquabeat, --,Cota Clube Parque Aquático BH, --,Sócio Remido Esmeralda, --,Aproveite A Oportunidade, --,Aquabeat Minas Gerais Preço, --,50 anos sem pagar mensalidade, --,Sócio Esmeralda Aquabeat, --,Apenas 28km do centro de BH, --, --, --, --, --, --,Seja Sócio Remido Esmeralda do maior parque aquático de Minas Gerais, --,Aquabeat BH - Seja sócio Remido Esmeralda do maior parque aquático, --,O Aquabeat Será O Destino Certo Para Quem Quer Se Divertir E Relaxar Por Um Dia, --,Aquabeat - Sócio Remido Esmeralda não paga mensalidade por 50 anos, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
Pesquisa - Institucional - NOV23,Enabled,Responsive search ad,https://aquabeat.com.br/cota-safira/?utm_source=googleads&utm_medium=cpc&utm_campaign=pesquisa, --, --, --, --, --, --, --, --,Parque Aquático BH MG, --,Parque Aquático Aquabeat, --,Aquabeat são josé da lapa, --,Seja Sócio Clube Aquabeat BH, --,Aquabeat Seja Sócio, --,Seja Sócio Remido Aquabeat, --,Cota Clube Parque Aquático BH, --,Sócio Remido Safira, --,Aproveite A Oportunidade, --,Aquabeat Minas Gerais Preço, --,50 anos sem pagar mensalidade, --,Telefone de vendas Aquabeat, --, --, --, --, --, --, --, --,Seja sócio remido do maior parque aquático de Minas Gerais, --,Aquabeat BH - Seja sócio Remido Safira do maior parque aquático, --,O Aquabeat Será O Destino Certo Para Quem Quer Se Divertir E Relaxar Por Um Dia, --,Aquabeat - Sócio Remido com hospedagem com a cota Safira!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,BRL,367.13,"23,779",21.89%,"5,205",0.00,0,0.07,15.44,0.07
Mantega visualizações,Disabled,Responsive video ad,https://www.youtube.com/shorts/RCShGD_CG4Q, --, --, --,Venha curtir o Verão no Aquabeat traga sua família, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Venha para o maior parque aquático de Minas Gerais, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,202431427224, --, --, --, --, --, --, --, --, --,Verão Aquabeat, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
Aquabeat @G3²,Paused,Expanded dynamic search ad,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,O Aquabeat Será O Destino Certo Para Quem Quer Se Divertir E Relaxar Por Um Dia, --, --,Aquabeat BH - Seja sócio Cristal do maior parque aquático, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
[Manteiga Video],Enabled,Responsive video ad,https://www.youtube.com/shorts/RCShGD_CG4Q, --, --, --,Venha para o Verão Aquabeat, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Venha curtir o Verão 2025, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Saiba mais, --, --, --, --, --,202431427224, --, --, --, --, --, --, --, --, --,Venha para o Verão Aquabeat, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
AQUABEAT @G3 #2,Paused,Responsive search ad,https://consultor.aquabeat.com.br, --, --, --, --, --, --, --, --,Consultor Aquabeat BH, --,Parque Aquático Aquabeat, --,Aquabeat São José da Lapa, --,Seja Sócio Clube Aquabeat BH, --,Aquabeat Seja Sócio, --,Seja Sócio Remido Aquabeat, --,Cota Clube Parque Aquático BH, --,Sócio Remido Esmeralda, --,Aproveite A Oportunidade, --,Aquabeat Minas Gerais Preço, --,50 anos sem pagar mensalidade, --,Sócio Esmeralda Aquabeat, --,Apenas 28km do centro de BH, --, --, --, --, --, --,Seja sócio remido do maior parque aquático de Minas Gerais, --,Aquabeat BH - Seja sócio Remido Esmeralda do maior parque aquático, --,O Aquabeat Será O Destino Certo Para Quem Quer Se Divertir E Relaxar Por Um Dia, --,Aquabeat - Sócio Remido Esmeralda não paga mensalidade por 50 anos, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
Display - Leads FEV24,Enabled,Responsive display ad,https://aquabeat.com.br/cota-safira/?utm_source=googleads&utm_medium=cpc&utm_campaign=display, --, --,"O maior parque Aquático de Minas, pronto para uso, com a maior Praia Artificial de MG.", --, --, --, --, --,Fale Com Um Consultor, --,O maior parque Aquático de MG, --,Seja Sócio Safira, --,Entre Em Contato, --,Conheça o Aquabeat, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Aquabeat Safira, seu oásis em Minas Gerais!", --,Aquabeat BH - Seja sócio Remido Safora do maior parque aquático de Minas!, --,Aquabeat - Sócio Remido Safira não paga mensalidade por 50 anos, --,"Você já pode ter seu chalé no Aquabeat, o maior parque aquático de Minas!", --,Seja Safira e desfrute dos Benefícios das Categorias Anteriores.,126083010450; 126083013915; 126052558489; 126083001852,126045274862; 126052558474; 126083001849; 126052558117; 126052556026; 126045274403; 126083009898; 126052558492,78464810528; 78465004067, --,Aquabeat, --, --, --, --, --, --, --, --, --, --, --, --,true,All formats, --, --,true,true, --, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
A PRAIA DE MINAS - SEJA SÓCIO DIAMANTE PREMIUM,Disabled,Responsive video ad,https://www.youtube.com/watch?v=WF8K5CmkgxM&t=1s, --, --, --,"Quanto gastei no meu dia no Aquabeat, e como foi", --, --, --, --,Quanto Gastei no Aquabeat, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Passando o dia no maior parque de Minas Gerais, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Inscrição, --, --, --, --, --,203679196873, --, --, --, --, --, --, --, --, --,Dia no Aquabet, --, --, --,, --, --,,BRL,0.00,0,0,0,0.00,0,0,0,0
