"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha",Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,"Cliques no link","Total de contatos de mensagem","Novos contatos de mensagem",Término,"Configuração de atribuição","ROAS de resultados","Indicador de ROAS do resultado","CPM (custo por 1.000 impressões) (BRL)","Cliques (todos)","CTR (todos)","Cliques únicos (todos)","CPC (todos) (BRL)","Conversas por mensagem iniciadas","Contatos por mensagem","Custo por conversa por mensagem iniciada (BRL)"," (BRL)","Novos contatos de mensagem"
2026-02-01,2026-02-28,"Campanha DayUse",inactive,,,,40,Diário,0,0,0,,,,Contínuo,—,,,0,0,0,0,0,,,,,
2026-02-01,2026-02-28,"Campanha DayUse — 6244 WPP",inactive,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,Contínuo,—,,,0,0,0,0,0,,,,,
2026-02-01,2026-02-28,"DayUse Int",inactive,,,,30,Diário,0,0,0,,,,Contínuo,—,,,0,0,0,0,0,,,,,
2026-02-01,2026-02-28,"DayUse Int — Cópia",not_delivering,,,,30,Diário,0,0,0,,,,Contínuo,—,,,0,0,0,0,0,,,,,
2026-02-01,2026-02-28,"Campanha DayUse — 6244 WPP — Cópia",inactive,,,,162,Diário,0,0,0,,,,Contínuo,—,,,0,0,0,0,0,,,,,
2026-02-01,2026-02-28,"Campanha DayUse — Cópia",not_delivering,1334,actions:onsite_conversion.messaging_conversation_started_7d,3.73616192,200,Diário,4984.04,409097,148710,4743,1406,1223,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,12.183028,7855,1.920083,6615,0.634505,1334,1326,3.736162,4.075258,1223
