"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha",Alcance,Frequência,"Custo por 1.000 contas da Central de Contas alcançadas (BRL)",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Objetivo,"Reproduções de 100% do vídeo","Reproduções de 50% do vídeo","Reproduções de 75% do vídeo","Tempo médio de reprodução do vídeo","Novos contatos de mensagem","Total de contatos de mensagem","Custo por resultados","Indicador de resultados","ROAS de resultados","Indicador de ROAS do resultado",Resultados,"Valor usado (BRL)",Visualizações,ThruPlays,"Reproduções de vídeo","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Cliques no link","Custo por clique único (todos) (BRL)",onsite_conversion_returning_messaging_connection,"Contatos por mensagem","Conversas por mensagem iniciadas","Novos contatos de mensagem","Custo por contato por mensagem (BRL)","Custo por conversa por mensagem iniciada (BRL)"
2025-12-01,2025-12-31,"COLONIA DE FÉRIAS [DS] 071225",inactive,344769,1.245332,2.140477,429352,1.718799,"Usando o orçamento do conjunto de anúncios",0,Reconhecimento,827,2735,1370,2,5,5,2.14047667,reach,,,344769,737.97,356650,3633,329120,924,0.215208,0.798669,179,0.798669,,5,5,5,147.594,147.594
2025-12-01,2025-12-31,"RETORNO DE MENSAGEM - COLONIA DE FÉRIAS [DS] 071225",inactive,8615,1.483691,21.778294,12782,14.678454,"Usando o orçamento do conjunto de anúncios",0,Engajamento,229,699,430,5,38,39,4.6905,actions:onsite_conversion.messaging_conversation_started_7d,,,40,187.62,12093,750,8800,134,1.048349,1.400149,59,1.537869,,38,40,38,4.937368,4.6905
2025-12-01,2025-12-31,"Post do Instagram: Momento de relaxar? Você...",archived,16327,1.311264,8.781773,21409,6.697183,144,Total,Tráfego,,,,2,1,1,0.50308772,actions:link_click,,,285,143.38,21436,4,485,280,1.307861,0.512071,285,0.533011,,1,1,1,143.38,143.38
2025-12-01,2025-12-31,"Post do Instagram: 🎄 O Natal tá chegando…
E nada...",completed,22378,1.29882,9.609885,29065,7.398933,216,Total,Tráfego,129,514,290,3,1,2,0.21988753,actions:visit_instagram_profile,,,978,215.05,30452,809,25389,965,3.320145,0.22285,996,0.231735,,2,3,1,107.525,71.683333
2025-12-01,2025-12-31,"Post do Instagram: Enquanto todo mundo ainda fala...",archived,0,0,0,0,0,480,Total,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"Post do Instagram: Enquanto todo mundo ainda fala...",archived,5545,1.086564,5.596032,6025,5.150207,219,Total,Tráfego,38,142,84,2,1,1,0.44328571,actions:link_click,,,70,31.03,6406,187,5431,70,1.161826,0.443286,70,0.44971,,1,1,1,31.03,31.03
2025-12-01,2025-12-31,"Teste AB — Black November",inactive,0,0,0,0,0,250,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"Publicação do Instagram: 🚨 ATENÇÃO: ÚLTIMA CHANCE...",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"Publicação do Instagram: 🎉 BLACK NOVEMBER DO...",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"Publicação do Instagram: 🎄 O Fim de Ano Tá...",inactive,0,0,0,0,0,30,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"TRAFEGO WPP JAN25",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"Publicação do Instagram: ☀️ @leandromantega te...",inactive,0,0,0,0,0,30,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"TRAFEGO WPP JAN25 — AB",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"TRAFEGO WPP JAN25 — PUBANT",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"TRAFEGO WPP JAN25[Antiga] #Teste -01",inactive,0,0,0,0,0,15,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"TRAFEGO WPP [ Antiga] #Teste -04-Feito-ok",inactive,0,0,0,0,0,15,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"TRAFEGO WPP JAN25 — AB[Antiga] Teste-#03-ok",inactive,0,0,0,0,0,15,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"TRAFEGO WPP JAN25[Antiga] #Teste -01 — Cópia",inactive,0,0,0,0,0,20,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"TRAFEGO WPP JAN25 — AB[Antiga] Teste-#03-copia",inactive,0,0,0,0,0,15,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"LeadsWPP 070425",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"LeadsTRAFEGO 070425",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"LeadsENG 070425",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"[Teste Criativos Gênesis 04#]",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"[Teste Criativos Gênesis 05#[Região norte]",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"[Teste Criativos Gênesis 05#[aberto— Cópia",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"MSG[OC] 2704 SJL+80KM Campanha",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"WPP[OC] 2704 SJL+80KM",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"TFG MSG[OC]",inactive,0,0,0,0,0,20,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"Chamada K10 Final - Sympla",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"DayUse Aquabeat Misto",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"Excursão Auto [wpp face insta]",inactive,33518,1.764246,35.563578,59134,20.157946,80,Diário,Engajamento,1720,4789,3055,5,334,380,3.39606838,actions:onsite_conversion.messaging_conversation_started_7d,,,351,1192.02,54860,4981,42824,2648,4.477965,0.450159,1197,0.577809,,340,351,322,3.505941,3.396068
2025-12-01,2025-12-31,"Camp. VENDA - WPP - R$70D",inactive,0,0,0,0,0,70,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"Aquabeat - Cliques no link — CAQBT 1108",inactive,0,0,0,0,0,30,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"Site Esmeralda - R$50D - 45KM",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"Camp. VENDA - WPP - R$50D",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"CAMP. VENDA - WPP - OBRAS - MG",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"Campanha Chamada Consultor",inactive,0,0,0,0,0,20,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"Campanha Evento",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"Campanha Evento",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"CAMP. VENDA - WPP - R$50D - BH160KM",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2025-12-01,2025-12-31,"CAMP. VENDA - LWPP - R$100D - BH160KM",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
